author
Thomas Prescher 0002
Stefan Börner
Daniel Gruss
Moritz Lipp
Arnon Rosenthal
Frank Manola
Werner Haas
Michael Schwarz 0001
Joe D. Morrison
Michael L. Brodie
Mark F. Hornick
Farshad Nayeri
Bodo Möller
Yuval Yarom
Paul Kocher
Daniel Genkin
Michael Stonebraker
Stefan Mangard
Bir Bhanu
Mike Hamburg
Eric Mays
Sitaram Lanka
